id,motion_level,concept,prompt,prompt_len
7,high,physics - fluid dynamics,Photorealistic closeup video of two pirate ships battling each other as they sail inside a cup of coffee.,105
17,high,"physics - acceleration,camera motion","The camera follows behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by pine trees on a steep mountain slope, dust kicks up from it’s tires, the sunlight shines on the SUV as it speeds along the dirt road, casting a warm glow over the scene. The dirt road curves gently into the distance, with no other cars or vehicles in sight. The trees on either side of the road are redwoods, with patches of greenery scattered throughout. The car is seen from the rear following the curve with ease, making it seem as if it is on a rugged drive through the rugged terrain. The dirt road itself is surrounded by steep hills and mountains, with a clear blue sky above with wispy clouds.",718
21,high,unusual activity,"A flock of paper airplanes flutters through a dense jungle, weaving around trees as if they were migrating birds.",113
31,high,unusual activity,"New York City submerged like Atlantis. Fish, whales, sea turtles and sharks swim through the streets of New York.",113
32,high,animal,"A litter of golden retriever puppies playing in the snow. Their heads pop out of the snow, covered in.",102
33,high,human - activity,"Step-printing scene of a person running, cinematic film shot in 35mm.",69
34,high,animal,"Five gray wolf pups frolicking and chasing each other around a remote gravel road, surrounded by grass. The pups run and leap, chasing each other, and nipping at each other, playing.",182
43,high,"animal,camera motion","A white and orange tabby cat is seen happily darting through a dense garden, as if chasing something. Its eyes are wide and happy as it jogs forward, scanning the branches, flowers, and leaves as it walks. The path is narrow as it makes its way between all the plants. the scene is captured from a ground-level angle, following the cat closely, giving a low and intimate perspective. The image is cinematic with warm tones and a grainy texture. The scattered daylight between the leaves and plants above creates a warm contrast, accentuating the cat’s orange fur. The shot is clear and sharp, with a shallow depth of field.",623
46,high,unusual subject,"A giant, towering cloud in the shape of a man looms over the earth. The cloud man shoots lighting bolts down to the earth.",122
47,high,animal,A Samoyed and a Golden Retriever dog are playfully romping through a futuristic neon city at night. The neon lights emitted from the nearby buildings glistens off of their fur.,176
50,high,unusual activity,A white cat driving in a car through a busy downtown street with tall buildings and pedestrians in the background,113
70,high,scene,Subtle reflections of a woman on the window of a train moving at hyper-speed in a Japanese city.,96
72,high,"scene,camera motion",FPV flying through a colorful coral lined streets of an underwater suburban neighborhood.,89
73,high,scene,An empty warehouse dynamically transformed by flora that explode from the ground.,81
74,high,unusual subject,Close up shot of a living flame wisp darting through a bustling fantasy market at night.,88
76,high,"scene,camera motion",A FPV shot zooming through a tunnel into a vibrant underwater space.,68
78,high,scene,Ultra-fast disorienting hyperlapse racing through a tunnel into a labyrinth of rapidly growing vines.,101
79,high,"scene,camera motion","FPV, internal locomotive cab of a train moving at hyper-speed in an old European city.",86
80,high,"scene,camera motion",Zooming in hyper-fast to a dandelion to reveal macro dream-like abstract world.,79
81,high,scene,Internal window of a train moving at hyper-speed in an old European city.,73
82,high,"scene,camera motion","Handheld camera moving fast, flashlight light, in a white old wall in a old alley at night a black graffiti that spells ‘Runway’.",129
83,high,"scene,camera motion",Super fast zoom out from the peak of a frozen mountain where a lonely hiker is arriving to the summit.,102
84,high,"unusual activity,scene,camera motion",A first-person POV shot rapidly flies through open doors to reveal a surreal waterfall cascading in the middle of the living room.,130
85,high,"scene,camera motion",A first-person POV shot rapidly flies towards a house's front door at 10x speed.,80
88,high,scene,"A tsunami coming through an alley in Bulgaria, dynamic movement.",64
99,high,human - activity,Aerial view shot of a cloaked figure elevating in the sky between skyscrapers.,78
104,high,unusual subject,"A giant humanoid, made of fluffy blue cotton candy, stomping on the ground, and roaring to the sky, clear blue sky behind them.",127
105,high,"scene,camera motion",Zooming through a dark forest with neon light flora lighting up.,64
106,high,scene,A cyclone of broken glass in an urban alleyway. dynamic movement.,65
111,high,"scene,camera motion",Aerial shot of a drone moving fast in a dense green jungle.,59
112,high,unusual activity,Hyperlapse shot through a corridor with flashing lights. A silver fabric flies through the entire corridor.,107
113,high,unusual activity,Aerial shot of the ocean. a maelstrom forms in the water swirling around until it reveals the fiery depths below.,113
116,high,"human - activity,camera motion",Over the shoulder shot of a woman running and watching a rocket in the distance.,80
120,high,unusual activity,A pink pig running fast toward the camera in an alley in Tokyo.,63
124,high,"unusual activity,unusual activity,sequential motion","A lightning bolt strikes a turtle in the middle of a lake, immediately turning him into an alligator.",101
128,high,physics - acceleration,A group of vintage muscle cars rev their engines before drag racing down a straight strip of asphalt.,101
135,high,"unusual activity,unusual subject",humans walking into a dragon's open jaws descending into the underworld,71
136,high,scene,"A police helicopter hovers above a high-speed chase, guiding officers on the ground to apprehend a suspect.",107
139,high,human - activity,A squad of futsal players showcasing their skills on an indoor court.,69
143,high,"unusual activity,sequential motion",A fish jumps out of a fish tank and swims around someone's head in the air,74
146,high,animal,"A cat is chasing a mice across a field, the mice runs towards an underground hole and the cat is left disappointed.",115
156,high,human - activity,A synchronized diving pair gracefully executing a synchronized dive.,68
157,high,unusual activity,A guitar is being swallowed by a volcano and engulfed in magma.,63
159,high,physics - acceleration,"A yellow school bus chugs up a steep hill, its engine roaring as it conquers the incline.",89
164,high,human - activity,"A motorcycle stunt rider soars through the air, executing a daring backflip over a ramp.",88
168,high,human - activity,A marathon runner crossing the finish line after a grueling race.,65
170,high,unusual activity,A penguin flies into the mouth of a blue whale breaking the surface of the water.,81
172,high,human - activity,"a real girl franatically running a dense forest with bushes, trees, in rainy day, the animals are running after her and she is screaming and shouting",149
175,high,animal,An orange cat jumps onto a kitchen counter after seeing butter there.,69
177,high,human - activity,"A group of skateboarders perform tricks on ramps and rails at a skate park, showcasing their skills.",100
178,high,animal,A ferret tosses a ball with his mouth and a puppy chases after it.,66
183,high,human - activity,A soccer goalie making a diving save with outstretched arms,59
184,high,human - activity,"A bulldozer clears debris from a demolished building, making way for new construction.",86
186,high,animal,A cat leaps out of a carboard box in a very high arch and lands into a taller box sitting next to the original box.,115
193,high,physics - gravity,A truck rolling backwards down a hill while a family chases it with balloons and cakes in their arms.,101
195,high,human - activity,A person performing a graceful routine on the uneven bars in gymnastics.,72
197,high,human - activity,"A girl grows wings on her feet, soars across North America.",59
202,high,physics - acceleration,A silver sedan gracefully glides around a sharp corner on a scenic mountain road.,81
228,high,human - emotion,The person's cheeks flushed with embarrassment as he tripped in public.,71
243,high,human - emotion,"The person jumps up and down excitedly, expressing happiness through dance moves.",81
244,high,human - emotion,A close-up shot of the person's face reveals his fear and desperation as he navigates the ship through the storm.,113
247,high,camera motion,Static camera shot. A dinasour running near some lions and chasing them away.,77
258,high,unusual activity,"An extreme wide low angle establishing shot from street level looking up at a city at dusk. High above the ground a garbage truck is floating and spinning as garbage falls out of it, defying gravity.",199
260,high,"human - activity,camera motion","A low altitude first person perspective camera tracking shot of a soccer player's feet dribbling the ball on the groud in a soccer field, Sports Videography, Motion Tracking camera shot",185
262,high,physics - collision,"Hands squeezing a vibrant water ball, causing it to burst with multicolored liquid",82
272,high,physics - acceleration,"In a marathon race, a female athlete gradually sprints ahead of the male athletes.",82
278,high,"unusual activity,sequential motion",A bunny puts the bright moon on its back and flies into the distance.,69
280,high,unusual activity,"Whilst a man and woman are walking through a city street in a dream, the man shows the woman how to fold the entire street upwards at a 90-degree angle and connect it with the sky. This creates a visually stunning effect, with the buildings and road bending and defying gravity. The scene highlights the limitless possibilities and creativity within the dream world.",366
283,high,physics - collision,Two basketballs are thrown towards each other and collide mid-air.,66
285,high,unusual activity,"The tall skyscapers in Hong Kong suddenly transform into a moving Gundam robot, cinematic CGI",93
289,high,"scene,camera motion",A drone view of the camera zooming into a closet. The other end gradually opens and reveals a pyramid world,107
290,high,scene,A rollercoaster ride from a city to a desert and then to an ice world,69
294,high,human - activity,An Asian girl wearing a bright yellow T-shirt and white pants is Hip-Hop dancing,80
297,high,scene,"A female warrior rushes towards the camera, and suddenly she turns into a holographic monster.",94
340,high,human - emotion,"Close-up of a man's face, muscles tensed and eyes narrowed in fury. His nostrils flare, and his jaw clenches tightly, exuding intense anger. He breathes heavily through his nose, his eyes burning with rage. Hyperspeed, dynamic motion, fiery.",241
341,high,physics - collision,"A dramatic scene of two cars colliding at an intersection, with shattered glass and debris flying in the air, capturing the intensity and impact of the crash.",158
343,high,physics - collision,"A close-up of two football players colliding during a game, their helmets and bodies crashing together with force, highlighting the physicality and intensity of the sport.",171
344,high,physics - collision,"A breathtaking image of a meteor colliding with the surface of a planet, with bright flames and a massive explosion, illustrating the power and destruction of such an event.",173
345,high,physics - collision,"A skateboarder losing control and colliding with a park bench, the board flipping into the air.",95
346,high,"physics - collision,human - activity,camera motion","The camera zooms in on a fast-paced ping-pong game, focusing on the rapid back-and-forth movement of the ball.",110
347,high,physics - collision,"A bird flying into a glass window, wings outstretched in shock.",63
348,high,physics - collision,"A shopping cart rolling down a hill and colliding with a parked car, groceries scattering.",90
350,high,physics - fluid dynamics,"A high-speed video of raindrops hitting a puddle, causing ripples and splashes.",79
351,high,physics - fluid dynamics,"A video of a water jet cutting through metal, showing the powerful and precise movement of water.",97
353,high,physics - fluid dynamics,"A slow-motion capture of a water balloon bursting, with water forming a perfect sphere before collapsing.",105
355,high,physics - fluid dynamics,"A close-up of a waterfall, showing the detailed movement of water as it crashes down.",85
356,high,physics - fluid dynamics,"A high-speed video of a soap bubble popping, with the soapy liquid dispersing in all directions.",96
359,high,physics - acceleration,A runner accelerating up a hill during a cross-country race.,60
361,high,physics - acceleration,"A speedboat accelerating across a lake, creating a large wake.",62
362,high,physics - acceleration,A horse accelerating out of the starting gate at the beginning of a race.,73
363,high,"physics - gravity,physics - acceleration","A rocket blasting off from the launch pad, accelerating rapidly into the sky.",77
367,high,physics - gravity,A meteor entering the Earth’s atmosphere and falling to the ground.,67
370,high,"unusual activity,unusual activity","low-fi handheld camera footage of a man transforming into a superhero, set in the forest of the Pacific Northwest",113
373,high,"unusual activity,unusual activity",A man is running in the forest and transforms into a wolf.,58
382,high,animal,"a white and orange tabby alley cat is seen darting across a back street alley in a heavy rain, looking for shelter",114
397,high,human - activity,a man BASE jumping over tropical hawaii waters. His pet macaw flies alongside him,81
402,high,"animal,unusual activity",Cinematic trailer for a group of adventurous puppies exploring ruins in the sky,79
406,high,"unusual activity,unusual activity","A surreal collage of a whirlwind of colorful fabrics and clothing items, fluttering and swirling in mid-air. The scene is dynamic and fashionable, with vibrant textile patterns. A sense of motion and style create a visually striking and complex scene. Pitch black background.",275
407,high,"unusual activity,unusual activity","A dynamic motion shot of a lamp transforming into a flamingo. The curved neck of the lamp elongates, its shade flattening into a delicate head. The camera circles as the base splits into two spindly legs, the bulb socket becoming a beak. Pink hues wash over the metal surface, transforming into soft feathers. The power cord coils and disappears as the transformation completes, revealing a graceful flamingo balancing on one leg.",430
408,high,"unusual activity,unusual activity","A dynamic motion shot of a broom morphing surreal and magically into a peacock. The handle shortens and curves into a slender neck, the bristles fanning out into a magnificent tail. The camera moves around as vibrant colors and eye-shaped patterns emerge on the expanding feathers. A small head forms at the top, complete with a delicate crest. The transformation completes as the peacock proudly displays its newly formed plumage.",431
409,high,"unusual activity,unusual activity","A dynamic motion shot of a plant transforming into an octopus. The green leaves of the plant begin to elongate and twist, turning into flexible, writhing tentacles. The camera circles as the stem thickens and expands, morphing into the bulbous head of an octopus, its texture shifting to a mottled pattern of green. The transformation completes with the plant revealing a fully formed octopus, its tentacles moving gracefully in the water.",439
419,high,physics - collision,"A marble goes through a glass cup, breaking it into pieces.",59
431,high,human - activity,"A first-person view of running upstairs in a hurry, with the person's feet visible as they take each step.",106
454,high,physics - fluid dynamics,A video showing the complex movement of a whirlpool in a river.,63
455,high,physics - fluid dynamics,"A high-speed video of champagne being poured into a glass, with bubbles rising rapidly.",87
456,high,physics - fluid dynamics,A slow-motion video of a liquid droplet bouncing on a water-repellent surface.,78
458,high,physics - fluid dynamics,"A close-up of a fountain, showing the detailed movement of water as it shoots upwards.",86
